Table 1
Country/Territory,UN region,IMF[1][13],World Bank[14],United Nations[15]
Forecast,Year,Estimate,Year,Estimate,Year
Maldives,Asia,"7,199",2024,"6,170",2022,"6,170",2022
Barbados,Americas,"6,863",2024,"5,699",2022,"5,699",2022
Cayman Islands,Americas,—,"6,844",2022,"6,281",2022
South Sudan,Africa,"6,517",2024,—,"4,616",2022
French Polynesia,Oceania,—,"5,814",2022,"5,814",2022
Fiji,Oceania,"5,801",2024,"4,979",2022,"4,979",2022
Eswatini,Africa,"5,085",2024,"4,790",2022,"4,326",2022
Liberia,Africa,"4,754",2024,"4,001",2022,"3,265",2022
Sierra Leone,Africa,"4,558",2024,"4,094",2022,"3,481",2022
Djibouti,Africa,"4,364",2024,"3,515",2022,"4,003",2022
Suriname,Americas,"4,337",2024,"3,620",2022,"3,620",2022
Aruba,Americas,"4,069",2024,"3,544",2022,"3,544",2022
Andorra,Europe,"3,897",2024,"3,352",2022,"3,376",2022
Belize,Americas,"3,296",2024,"2,830",2022,"2,830",2022
Greenland,Americas,—,"3,235",2021,"2,926",2022
Bhutan,Asia,"3,110",2024,"2,768",2021,"2,898",2022
Curaçao,Americas,—,"3,075",2022,"3,075",2022
Burundi,Africa,"3,075",2024,"3,338",2022,"4,032",2022
Central African Republic,Africa,"2,810",2024,"2,382",2022,"2,395",2022
Cape Verde,Africa,"2,718",2024,"2,226",2022,"2,314",2022
Gambia,Africa,"2,694",2024,"2,187",2022,"2,231",2022
Saint Lucia,Americas,"2,582",2024,"2,343",2022,"2,165",2022
Lesotho,Africa,"2,395",2024,"2,236",2022,"2,287",2022
Eritrea,Africa,—,—,"2,383",2022
Zanzibar,Africa,—,—,"2,361",2022
Seychelles,Africa,"2,203",2024,"1,588",2022,"1,994",2022
Guinea-Bissau,Africa,"2,151",2024,"1,633",2022,"1,574",2022
Antigua and Barbuda,Americas,"2,127",2024,"1,867",2022,"1,770",2022
San Marino,Europe,"2,033",2024,"1,855",2021,"1,780",2022
East Timor,Asia,"1,992",2024,"3,204",2022,"3,204",2022
Solomon Islands,Oceania,"1,707",2024,"1,597",2022,"1,597",2022
Sint Maarten,Americas,—,"1,537",2022,"1,572",2022
British Virgin Islands,Americas,—,—,"1,471",2022
Comoros,Africa,"1,422",2024,"1,242",2022,"1,246",2022
Grenada,Americas,"1,406",2024,"1,215",2022,"1,192",2022
Vanuatu,Oceania,"1,289",2024,"1,055",2022,985,2022
Turks and Caicos Islands,Americas,—,"1,138",2022,"1,138",2022
Saint Kitts and Nevis,Americas,"1,134",2024,965,2022,979,2022
Saint Vincent and the Grenadines,Americas,"1,128",2024,948,2022,946,2022
Samoa,Oceania,"1,024",2024,832,2022,857,2022
São Tomé and Príncipe,Africa,751,2024,542,2022,546,2022
Dominica,Americas,708,2024,607,2022,612,2022
Tonga,Oceania,581,2024,469,2021,488,2022
Micronesia,Oceania,484,2024,424,2022,427,2022
Anguilla,Americas,—,—,452,2022
Kiribati,Oceania,311,2024,223,2022,223,2022
Palau,Oceania,308,2024,232,2021,225,2022
Marshall Islands,Oceania,305,2024,258,2022,279,2022
Cook Islands,Oceania,—,—,289,2022
Nauru,Oceania,161,2024,151,2022,147,2022
Montserrat,Americas,—,—,72,2022
Tuvalu,Oceania,66,2024,59,2022,59,2022

